ids	T2-Ag1:B2C_C_Nov	T2-Ag1:B2T_T_Nov	T2-Ag1:B3T_T_Nov	T2-Ag1:B5C_C_Nov	T2-Ag1:B6C_C_Nov	T2-Ag1:B8T_T_Jul
Both-000fc844-1b04-4768-a587-63eb7d79c485_NC_037643.1:7083000	5.0	4.0	5.0	12.0	4.0	2.0
Both-000fc968-e6b6-466f-9ccb-0736ab1982a7_GeneID:408551	0.0	0.0	0.0	1.0	0.0	0.0
Both-00288465-5e9b-4386-aa0d-12f7c379cbac_NC_037641.1:5394000	1.0	0.0	2.0	0.0	1.0	0.0
Both-002a2126-f3a2-42c1-af6a-8396a9f048bd_NC_037638.1:25923000	3.0	5.0	1.0	6.0	8.0	1.0
Both-002c15f1-011b-4312-8406-cef03569d5f1_NC_037638.1:9068000	1.0	0.0	1.0	1.0	2.0	0.0
Both-00345594-2550-4ab5-b033-dd88e23b0643_GeneID:413605	2.0	1.0	2.0	0.0	5.0	1.0
Both-00369cb5-c1c2-4c84-a0f8-b270595825bb_NC_037638.1:1034000	8.0	3.0	7.0	16.0	10.0	2.0
Both-00388a16-fa94-4243-92eb-7c6f74245ea6_GeneID:100577672	0.0	2.0	0.0	0.0	2.0	0.0
Both-003db545-fa1a-4fcc-a2f9-a24356a11dd9_NC_037641.1:12657000	1.0	1.0	3.0	5.0	6.0	0.0
Both-00416ffd-01c1-4d00-be60-5658a6a129e1_NC_037640.1:3047000	1.0	0.0	1.0	0.0	2.0	1.0
Both-005778b0-bb48-428a-9602-96b06f61308b_GeneID:409757	0.0	0.0	1.0	0.0	5.0	1.0
Both-00756444-63dc-487c-8b44-15c053727c5b_NC_037648.1:7042000	4.0	3.0	4.0	13.0	4.0	3.0
Both-0075d404-6e4b-4caa-ac2b-29a207372b42_NC_037638.1:9301000	1.0	2.0	9.0	2.0	2.0	1.0
Both-0081cb06-462f-41a7-8a8c-0af0b382e922_NC_037650.1:4335000	0.0	1.0	1.0	1.0	0.0	0.0
Both-008946c0-de86-4cfc-ae08-0a6e209923ff_GeneID:726445	1.0	4.0	9.0	1.0	1.0	5.0
Both-0095ab68-9c50-4317-9953-62a970bac74d_NC_037638.1:1120000	0.0	0.0	3.0	0.0	0.0	0.0
Both-009eac3f-7a0c-4858-8683-9ef3fbe460e3_GeneID:409240	1.0	1.0	1.0	1.0	0.0	1.0
Both-00a3dd82-5c40-47d1-a9d9-7648296f40e7_GeneID:409422	1.0	0.0	1.0	0.0	2.0	0.0
Both-00b27c49-89ff-4e90-b28d-3614656fc6fc_GeneID:409724	2.0	0.0	3.0	0.0	2.0	3.0
Both-00b69ed4-d10a-4024-8724-7904343f7250_NC_037652.1:2791000	0.0	0.0	0.0	0.0	2.0	0.0
Both-00bcd299-2c26-4760-9498-10aff83676fa_NC_037646.1:2875000	2.0	10.0	4.0	4.0	11.0	1.0
Both-00ce6d88-a867-4d7d-8f9d-5e6c52c46c23_GeneID:727452	44.0	40.0	84.0	59.0	59.0	27.0
Both-00d311e0-b03f-45b3-a0ab-2b98e76aaa34_GeneID:551909	0.0	2.0	1.0	0.0	3.0	0.0
Both-00d417f8-c931-4e01-8c2d-9f08010fa2dc_GeneID:412141	1.0	1.0	1.0	0.0	0.0	0.0
Both-00e940d9-e371-4ae7-a73b-cebe1838bfa7_NC_037652.1:1838000	0.0	0.0	0.0	2.0	0.0	0.0
Both-00eb1870-abf9-4886-bf02-04d167fc1af6_GeneID:552508	18.0	15.0	31.0	29.0	44.0	15.0
Both-00f1b352-a6e3-4861-b0f6-fccee18f1c0c_NC_037640.1:8332000	1.0	2.0	5.0	3.0	2.0	1.0
Both-00fc8e2c-ed57-420d-8bb5-70548dd4f5cf_NC_037641.1:3717000	13.0	5.0	12.0	32.0	15.0	3.0
Both-01051a0b-ba67-4928-987b-1b634da7ae9c_NC_037642.1:9547000	1.0	1.0	0.0	0.0	0.0	0.0
Both-01139887-9a78-47e0-81c7-51402b077e65_GeneID:725320	0.0	0.0	1.0	0.0	1.0	1.0
Both-0115076c-528e-469e-9d3d-8e11486c5957_NC_037640.1:4390000	0.0	2.0	0.0	2.0	0.0	0.0
Both-0117479f-075b-48b3-8266-4290228b0ca9_NC_037647.1:4382000	1.0	1.0	0.0	0.0	2.0	1.0
Both-011ef310-c5cd-4db8-9082-a29fd2fb3590_NC_037641.1:7870000	0.0	0.0	2.0	1.0	3.0	0.0
Both-01243240-9715-4885-a627-af89d1a52ce7_NC_037640.1:6118000	3.0	2.0	1.0	3.0	3.0	2.0
Both-012b6e43-df2f-4cda-ac81-2bed8e6d1680_GeneID:406091	11.0	16.0	0.0	9.0	4.0	9.0
Both-012eb553-d8e7-4ff1-b9ba-3bf4772dd4d5_GeneID:726966	9.0	18.0	49.0	34.0	39.0	20.0
Both-0140572d-09a0-49ae-9a1d-8bb6d3338323_NC_037638.1:7414000	1.0	0.0	0.0	1.0	0.0	0.0
Both-01471c42-007e-49d2-ba51-fa4d52ead0be_NC_037643.1:13209000	0.0	2.0	0.0	0.0	1.0	1.0
Both-01519a33-e19f-476d-a1dc-d2e8507ca76a_NC_037643.1:16587000	0.0	0.0	0.0	0.0	3.0	1.0
Both-01555caa-021d-4e62-9391-4edbef191583_GeneID:551341	1.0	2.0	2.0	0.0	0.0	0.0
Both-015e9ce5-f730-423c-a3e8-46c3215e9154_NC_037648.1:7082000	0.0	2.0	2.0	3.0	6.0	0.0
Both-01762a50-695d-41f3-84e4-cd6fc81910bb_NC_037648.1:10572000	1.0	0.0	0.0	1.0	0.0	0.0
Both-0176f275-7090-47e2-87ca-6d78cfe492c0_NC_037638.1:11138000	0.0	0.0	2.0	0.0	0.0	0.0
Both-01786537-7d7e-460b-9aa4-81325d8967de_NC_037640.1:8052000	2.0	0.0	0.0	1.0	1.0	0.0
Both-017c4d42-add4-484d-a29f-7a6f30ff5df8_GeneID:552318	4.0	5.0	4.0	4.0	9.0	3.0
