Sample	Name	Paternal_lineage	Cross	Aggression	Batch	Reused_flowcell	Thorax	BAM_file_size	Use
6C	T2-Ag1:B6C	AHB father	B	C	9-Nov-20	FALSE	FALSE	1043731535	TRUE
3T	T2-Ag1:B3T	AHB father	B	T	9-Nov-20	TRUE	FALSE	766590262	TRUE
1T	T2-Ag1:B1T	AHB father	B	T	9-Nov-20	TRUE	FALSE	39199331	FALSE
2T	T2-Ag1:B2T	AHB father	B	T	9-Nov-20	FALSE	FALSE	547261665	TRUE
2C	T2-Ag1:B2C	AHB father	B	C	9-Nov-20	FALSE	FALSE	811735085	TRUE
5C	T2-Ag1:B5C	AHB father	B	C	9-Nov-20	FALSE	FALSE	683525460	TRUE
3Tb	T2-Ag1:A3T	EHB father	A	T	26-Apr-21	FALSE	FALSE	827462138	TRUE
1Tb	T2-Ag1:A1T	EHB father	A	T	26-Apr-21	FALSE	FALSE	681992021	TRUE
B3T	T2-Ag1:B3T	AHB father	B	T	17-May-21	FALSE	FALSE	733275	FALSE
B1T	T2-Ag1:B1T	AHB father	B	T	17-May-21	FALSE	FALSE	632516	FALSE
A-2T	T2-Ag1:A2T	EHB father	A	T	17-May-21	FALSE	FALSE	2405366	FALSE
	T2-Ag1:A2C	EHB father	A	C	17-May-21	FALSE	FALSE		FALSE
	T2-Ag1:A6C	EHB father	A	C	17-May-21	FALSE	FALSE		FALSE
	T2-Ag1:A3C	EHB father	A	C	17-May-21	FALSE	FALSE		FALSE
A2Tt	T2-Ag1:A2Tt	EHB father	A	T	6-Jul-21	FALSE	TRUE	498674161	FALSE
A2C	T2-Ag1:A2Ct	EHB father	A	C	6-Jul-21	FALSE	TRUE	1153083925	FALSE
A6Ct	T2-Ag1:A6Ct	EHB father	A	C	6-Jul-21	FALSE	TRUE	352090322	FALSE
A3Ct	T2-Ag1:A3Ct	EHB father	A	C	6-Jul-21	FALSE	TRUE	591284712	FALSE
T2Ag1B8T	T2-Ag1:B8T	AHB father	B	T	6-Jul-21	FALSE	FALSE	528160865	TRUE
T2Ag1B9T	T2-Ag1:B9T	AHB father	B	T	6-Jul-21	FALSE	FALSE	5733160	FALSE
T3Ag1A2C		EHB father	A	C	6-Dec-21	FALSE	FALSE		TRUE
T3Ag1A7Ct		EHB father	A	C	6-Dec-21	FALSE	FALSE		TRUE
T3Ag1A9Ct		EHB father	A	C	6-Dec-21	FALSE	FALSE		TRUE
T3Ag2A1Tx		EHB father	A	T	6-Dec-21	FALSE	FALSE		TRUE
